;NAME;;PSRJ;;P0;;;P1;;;DIST;EDOT;BSURF_I;
;;;;;(s);;;;;;(kpc);(ergs/s);(G);
72;J0108-1431;tnj+94;J0108-1431;tnj+94;0.807564614019;2.0e-11;hlk+04;7.704E-17;1.2e-19;hlk+04;0.210;5.8e+30;2.32e+11;
73;B0105+65;dls72;J0108+6608;dls72;1.2836598429;5.0e-10;hlk+04;1.3051E-14;3.0e-18;hlk+04;2.128;2.4e+32;4.14e+12;
74;B0105+68;dtws85;J0108+6905;dtws85;1.071118109859;5.0e-12;hlk+04;4.809E-17;4.0e-20;hlk+04;1.981;1.5e+30;*;
75;J0110-22;mss+20;J0110-22;mss+20;1.262;0.0e+00;mss+20;*;0;*;25.000;*;*;
76;J0111+6624;slr+14;J0111+6624;slr+14;4.3018721008;4.0e-10;lsk+18;8.36E-15;1.7e-16;lsk+18;2.412;4.1e+30;*;
77;J0111-7131;mfl+06;J0111-7131;mfl+06;0.68854151164;5.0e-11;mfl+06;7.092E-15;4.0e-18;mfl+06;59.700;8.6e+32;*;
78;J0113-7220;ckm+01;J0113-7220;ckm+01;0.32588301613;1.0e-11;ckm+01;4.8590E-15;1.5e-18;ckm+01;59.700;5.5e+33;*;
79;J0115+6325;scb+19;J0115+6325;scb+19;0.521455427473;5.0e-12;mbc+20;1.599E-15;3.0e-18;mbc+20;1.931;4.5e+32;*;
80;B0114+58;stwd85;J0117+5914;stwd85;0.1014390664824;2.0e-12;hlk+04;5.849955E-15;1.7e-20;hlk+04;1.768;2.2e+35;7.80e+11;
81;J0121+53;gac+20;J0121+53;gac+20;2.7247846;4.0e-07;gac+20;*;0;*;2.644;*;*;
82;J0122+1416;ttk+17;J0122+1416;ttk+17;1.38899395038;2.0e-11;mbc+20;3.803E-15;1.0e-18;mbc+20;1.584;5.6e+31;*;
83;J0125-23;mbc+19;J0125-23;mbc+19;0.00367586;0;mbc+19;*;0;*;0.872;*;*;
84;J0125+62;slr+14;J0125+62;slr+14;1.708233;9.8e-05;slr+14;*;0;*;2.403;*;*;
85;J0131-7310;mfl+06;J0131-7310;mfl+06;0.348124045581;7.0e-12;mfl+06;1.7614E-15;7.0e-19;mfl+06;59.700;1.6e+33;*;
86;J0133-6957;lml+98;J0133-6957;lml+98;0.463473741703;3.0e-12;dsb+98;1.200E-16;2.0e-19;dsb+98;2.441;4.8e+31;*;
87;J0134-2937;mld+96;J0134-2937;mld+96;0.136961610513651;1.4e-14;lwy+16;7.83699E-17;3.0e-22;lwy+16;25.000;1.2e+33;1.03e+11;
88;J0137+1654;lxf+05;J0137+1654;lxf+05;0.4147630265082;5.0e-13;lxf+05;0.01223E-15;3.0e-20;lxf+05;3.061;6.8e+30;*;
89;J0137+6349;slr+14;J0137+6349;slr+14;0.717962726847;6.0e-12;lsk+18;9.60E-16;5.0e-18;lsk+18;9.097;1.0e+32;*;
90;J0139+3336;ttm+18;J0139+3336;ttm+18;1.2479609557;1.0e-10;mbc+20;2.064E-15;8.0e-18;mbc+20;1.472;4.2e+31;*;
